""	"x"
"337"	"F"
"338"	"B"
"339"	"B"
"340"	"F"
"341"	"D"
"342"	"F"
"343"	"F"
"344"	"E"
"345"	"F"
"346"	"D"
"347"	"B"
"348"	"B"
"349"	"B"
"350"	"F"
"351"	"E"
"352"	"A"
"353"	"B"
"354"	"A"
"355"	"D"
"356"	"A"
"357"	"C"
"358"	"C"
"359"	"B"
"360"	"B"
"361"	"B"
"362"	"B"
"363"	"B"
"364"	"F"
"365"	"F"
"366"	"E"
"367"	"E"
"368"	"B"
"369"	"B"
"370"	"B"
"371"	"B"
"372"	"B"
"373"	"B"
"374"	"D"
"375"	"B"
"376"	"B"
"377"	"A"
"378"	"A"
"379"	"B"
"380"	"C"
"381"	"E"
"382"	"A"
"383"	"B"
"384"	"C"
"385"	"D"
"386"	"B"
"387"	"D"
"388"	"E"
"389"	"C"
"390"	"B"
"391"	"C"
"392"	"C"
"393"	"F"
"394"	"B"
"395"	"B"
"396"	"B"
"397"	"B"
"398"	"B"
"399"	"B"
"400"	"F"
"401"	"B"
"402"	"A"
"403"	"E"
"404"	"A"
"405"	"A"
"406"	"E"
"407"	"B"
"408"	"C"
"409"	"D"
"410"	"B"
"411"	"F"
"412"	"C"
"413"	"A"
"414"	"C"
"415"	"E"
"416"	"A"
"417"	"B"
"418"	"D"
"419"	"A"
"420"	"A"
"421"	"C"
"422"	"B"
"423"	"B"
"424"	"B"
"425"	"E"
"426"	"A"
"427"	"C"
"428"	"A"
"429"	"A"
"430"	"B"
"431"	"A"
"432"	"B"
"433"	"F"
"434"	"D"
"435"	"A"
"436"	"B"
"437"	"B"
"438"	"E"
"439"	"D"
"440"	"A"
"441"	"A"
"442"	"B"
"443"	"D"
"444"	"A"
"445"	"D"
"446"	"E"
"447"	"B"
"448"	"A"
"449"	"E"
"450"	"D"
"451"	"C"
"452"	"D"
"453"	"A"
"454"	"A"
"455"	"D"
"456"	"E"
"457"	"B"
"458"	"E"
"459"	"F"
"460"	"F"
"461"	"F"
"462"	"F"
"463"	"B"
"464"	"B"
"465"	"D"
"466"	"D"
"467"	"B"
"468"	"C"
"469"	"B"
"470"	"B"
"471"	"B"
"472"	"A"
"473"	"F"
"474"	"B"
"475"	"C"
"476"	"F"
"477"	"A"
"478"	"D"
"479"	"B"
"480"	"F"
"481"	"B"
"482"	"F"
"483"	"A"
"484"	"B"
"485"	"B"
"486"	"B"
"487"	"A"
"488"	"A"
"489"	"A"
"490"	"C"
"491"	"F"
"492"	"C"
"493"	"A"
"494"	"E"
"495"	"B"
"496"	"C"
"497"	"F"
"498"	"B"
"499"	"F"
"500"	"B"
"501"	"F"
"502"	"A"
"503"	"D"
"504"	"E"
"505"	"E"
"506"	"C"
"507"	"E"
"508"	"B"
"509"	"B"
"510"	"B"
"511"	"B"
"512"	"F"
"513"	"B"
"514"	"D"
"515"	"A"
"516"	"B"
"517"	"F"
"518"	"A"
"519"	"B"
"520"	"A"
"521"	"A"
"522"	"C"
"523"	"B"
"524"	"F"
"525"	"D"
"526"	"F"
"527"	"F"
"528"	"A"
"529"	"D"
"530"	"E"
"531"	"C"
"532"	"B"
"533"	"B"
"534"	"A"
"535"	"B"
"536"	"B"
"537"	"C"
"538"	"B"
"539"	"A"
"540"	"B"
"541"	"B"
"542"	"C"
"543"	"F"
"544"	"F"
"545"	"A"
"546"	"E"
"547"	"A"
"548"	"E"
"549"	"D"
"550"	"D"
"551"	"A"
"552"	"C"
"553"	"B"
"554"	"B"
"555"	"E"
"556"	"A"
"557"	"A"
"558"	"C"
"559"	"A"
"560"	"E"
"561"	"B"
"562"	"C"
"563"	"B"
"564"	"A"
"565"	"D"
"566"	"B"
"567"	"C"
"568"	"B"
"569"	"B"
"570"	"A"
"571"	"F"
"572"	"E"
"573"	"E"
"574"	"E"
"575"	"B"
"576"	"B"
"577"	"B"
"578"	"E"
"579"	"B"
"580"	"C"
"581"	"C"
"582"	"E"
"583"	"A"
"584"	"B"
"585"	"F"
"586"	"D"
"587"	"A"
"588"	"D"
"589"	"B"
"590"	"A"
"591"	"D"
"592"	"A"
"593"	"C"
"594"	"C"
"595"	"A"
"596"	"F"
"597"	"A"
"598"	"B"
"599"	"A"
"600"	"C"
"601"	"B"
"602"	"B"
"603"	"A"
"604"	"F"
"605"	"B"
"606"	"A"
"607"	"E"
"608"	"E"
"609"	"B"
"610"	"B"
"611"	"E"
"612"	"B"
"613"	"B"
"614"	"B"
"615"	"B"
"616"	"F"
"617"	"D"
"618"	"A"
"619"	"B"
"620"	"F"
"621"	"F"
"622"	"B"
"623"	"D"
"624"	"E"
"625"	"C"
"626"	"A"
"627"	"A"
"628"	"B"
"629"	"C"
"630"	"A"
"631"	"F"
"632"	"A"
"633"	"E"
"634"	"F"
"635"	"B"
"636"	"F"
"637"	"A"
"638"	"B"
"639"	"C"
"640"	"A"
"641"	"D"
"642"	"B"
"643"	"D"
"644"	"C"
"645"	"A"
"646"	"B"
"647"	"A"
"648"	"A"
"649"	"E"
"650"	"C"
"651"	"B"
"652"	"F"
"653"	"F"
"654"	"D"
"655"	"B"
"656"	"B"
"657"	"B"
"658"	"A"
"659"	"A"
"660"	"E"
"661"	"B"
"662"	"A"
"663"	"B"
"664"	"C"
"665"	"B"
"666"	"F"
"667"	"B"
"668"	"B"
"669"	"E"
"670"	"C"
"671"	"B"
"672"	"E"
"673"	"E"
"674"	"F"
"675"	"B"
"676"	"E"
"677"	"A"
"678"	"E"
"679"	"A"
"680"	"B"
"681"	"F"
"682"	"B"
"683"	"E"
"684"	"C"
"685"	"F"
"686"	"C"
"687"	"B"
"688"	"D"
"689"	"E"
"690"	"F"
"691"	"B"
"692"	"D"
"693"	"C"
"694"	"F"
"695"	"B"
"696"	"B"
"697"	"D"
"698"	"F"
"699"	"B"
"700"	"C"
"701"	"C"
"702"	"F"
"703"	"A"
"704"	"B"
"705"	"B"
"706"	"B"
"707"	"B"
"708"	"B"
"709"	"B"
"710"	"B"
"711"	"F"
"712"	"A"
"713"	"B"
"714"	"E"
"715"	"C"
"716"	"B"
"717"	"F"
"718"	"B"
"719"	"D"
"720"	"C"
"721"	"A"
"722"	"B"
"723"	"A"
"724"	"B"
"725"	"A"
"726"	"B"
"727"	"A"
"728"	"F"
"729"	"C"
"730"	"B"
"731"	"A"
"732"	"B"
"733"	"E"
"734"	"E"
"735"	"C"
"736"	"B"
"737"	"B"
"738"	"A"
"739"	"A"
"740"	"F"
"741"	"A"
"742"	"A"
"743"	"B"
"744"	"A"
"745"	"F"
"746"	"B"
"747"	"A"
"748"	"B"
"749"	"B"
"750"	"F"
"751"	"B"
"752"	"D"
"753"	"D"
"754"	"B"
"755"	"B"
"756"	"B"
"757"	"F"
"758"	"B"
"759"	"F"
"760"	"A"
"761"	"A"
"762"	"A"
"763"	"D"
"764"	"E"
"765"	"D"
"766"	"C"
"767"	"E"
"768"	"B"
"769"	"A"
"770"	"B"
"771"	"E"
"772"	"B"
"773"	"B"
"774"	"C"
"775"	"B"
"776"	"F"
"777"	"C"
"778"	"E"
"779"	"E"
"780"	"B"
"781"	"B"
"782"	"B"
"783"	"A"
"784"	"B"
"785"	"B"
"786"	"A"
"787"	"A"
"788"	"B"
"789"	"C"
"790"	"B"
"791"	"D"
"792"	"B"
"793"	"A"
"794"	"B"
"795"	"B"
"796"	"B"
"797"	"F"
"798"	"C"
"799"	"D"
"800"	"A"
"801"	"B"
"802"	"B"
"803"	"D"
"804"	"E"
"805"	"D"
"806"	"F"
"807"	"A"
"808"	"D"
"809"	"B"
"810"	"B"
"811"	"A"
"812"	"D"
"813"	"A"
"814"	"B"
"815"	"A"
"816"	"B"
"817"	"F"
"818"	"A"
"819"	"B"
"820"	"F"
"821"	"F"
"822"	"F"
"823"	"C"
"824"	"B"
"825"	"A"
"826"	"B"
"827"	"F"
"828"	"A"
"829"	"B"
"830"	"C"
"831"	"A"
"832"	"D"
"833"	"F"
"834"	"B"
"835"	"D"
"836"	"A"
"837"	"B"
"838"	"A"
"839"	"E"
"840"	"B"
"841"	"A"
"842"	"D"
"843"	"A"
"844"	"A"
"845"	"B"
"846"	"F"
"847"	"B"
"848"	"A"
"849"	"A"
"850"	"B"
"851"	"F"
"852"	"B"
"853"	"D"
"854"	"F"
"855"	"B"
"856"	"B"
"857"	"B"
"858"	"A"
"859"	"B"
"860"	"F"
"861"	"B"
"862"	"A"
"863"	"E"
"864"	"C"
"865"	"C"
"866"	"C"
"867"	"B"
"868"	"A"
"869"	"A"
"870"	"B"
"871"	"A"
"872"	"D"
"873"	"A"
"874"	"F"
"875"	"B"
"876"	"E"
"877"	"F"
"878"	"B"
"879"	"B"
"880"	"C"
"881"	"B"
"882"	"E"
"883"	"A"
"884"	"B"
"885"	"C"
"886"	"B"
"887"	"E"
"888"	"B"
"889"	"C"
"890"	"E"
"891"	"A"
"892"	"B"
"893"	"C"
"894"	"E"
"895"	"B"
"896"	"C"
"897"	"B"
"898"	"E"
"899"	"E"
"900"	"A"
"901"	"C"
"902"	"D"
"903"	"D"
"904"	"B"
"905"	"B"
"906"	"D"
"907"	"D"
"908"	"F"
"909"	"A"
"910"	"A"
"911"	"B"
"912"	"B"
"913"	"A"
"914"	"B"
"915"	"A"
"916"	"B"
"917"	"E"
"918"	"D"
"919"	"D"
"920"	"D"
"921"	"A"
"922"	"D"
"923"	"B"
"924"	"E"
"925"	"A"
"926"	"B"
"927"	"D"
"928"	"A"
"929"	"A"
"930"	"F"
"931"	"B"
"932"	"D"
"933"	"E"
"934"	"B"
"935"	"B"
"936"	"B"
"937"	"E"
"938"	"B"
"939"	"A"
"940"	"D"
"941"	"E"
"942"	"B"
"943"	"E"
"944"	"B"
"945"	"E"
"946"	"F"
"947"	"C"
"948"	"A"
"949"	"D"
"950"	"E"
"951"	"D"
"952"	"C"
"953"	"B"
"954"	"D"
"955"	"B"
"956"	"A"
"957"	"A"
"958"	"E"
"959"	"E"
"960"	"C"
"961"	"F"
"962"	"B"
"963"	"A"
"964"	"F"
"965"	"B"
"966"	"F"
"967"	"B"
"968"	"C"
"969"	"B"
"970"	"B"
"971"	"A"
"972"	"B"
"973"	"B"
"974"	"F"
"975"	"D"
"976"	"E"
"977"	"B"
"978"	"F"
"979"	"C"
"980"	"B"
"981"	"D"
"982"	"B"
"983"	"A"
"984"	"C"
"985"	"A"
"986"	"B"
"987"	"C"
"988"	"D"
"989"	"D"
"990"	"F"
"991"	"E"
"992"	"C"
"993"	"A"
"994"	"B"
"995"	"C"
"996"	"F"
"997"	"F"
"998"	"E"
"999"	"F"
"1000"	"B"
"1001"	"A"
"1002"	"B"
"1003"	"A"
"1004"	"F"
"1005"	"B"
"1006"	"E"
"1007"	"A"
"1008"	"A"
"1009"	"B"
"1010"	"A"
"1011"	"B"
"1012"	"E"
"1013"	"F"
"1014"	"B"
"1015"	"B"
"1016"	"D"
"1017"	"A"
"1018"	"A"
"1019"	"D"
"1020"	"A"
"1021"	"D"
"1022"	"D"
"1023"	"B"
"1024"	"C"
"1025"	"B"
"1026"	"B"
"1027"	"C"
"1028"	"B"
"1029"	"A"
"1030"	"A"
"1031"	"A"
"1032"	"B"
"1033"	"B"
"1034"	"B"
"1035"	"A"
"1036"	"B"
"1037"	"B"
"1038"	"A"
"1039"	"F"
"1040"	"C"
"1041"	"A"
"1042"	"B"
"1043"	"F"
"1044"	"A"
"1045"	"B"
"1046"	"B"
"1047"	"C"
"1048"	"B"
"1049"	"A"
"1050"	"A"
"1051"	"B"
"1052"	"F"
"1053"	"F"
"1054"	"F"
"1055"	"A"
"1056"	"A"
"1057"	"C"
"1058"	"B"
"1059"	"A"
"1060"	"B"
"1061"	"E"
"1062"	"E"
"1063"	"A"
"1064"	"F"
"1065"	"C"
"1066"	"F"
"1067"	"B"
"1068"	"D"
"1069"	"B"
"1070"	"A"
"1071"	"B"
"1072"	"A"
"1073"	"B"
"1074"	"C"
"1075"	"B"
"1076"	"F"
"1077"	"F"
"1078"	"B"
"1079"	"A"
"1080"	"E"
"1081"	"F"
"1082"	"A"
"1083"	"A"
"1084"	"A"
"1085"	"B"
"1086"	"E"
"1087"	"A"
"1088"	"B"
"1089"	"A"
"1090"	"B"
"1091"	"D"
"1092"	"C"
"1093"	"F"
"1094"	"A"
"1095"	"B"
"1096"	"A"
"1097"	"D"
"1098"	"E"
"1099"	"E"
"1100"	"C"
"1101"	"D"
"1102"	"B"
"1103"	"B"
"1104"	"B"
"1105"	"C"
"1106"	"A"
"1107"	"F"
"1108"	"B"
"1109"	"A"
"1110"	"A"
"1111"	"A"
"1112"	"F"
"1113"	"B"
"1114"	"D"
"1115"	"B"
"1116"	"B"
"1117"	"B"
"1118"	"B"
"1119"	"B"
"1120"	"C"
"1121"	"E"
"1122"	"A"
"1123"	"B"
"1124"	"B"
"1125"	"A"
"1126"	"D"
"1127"	"D"
"1128"	"A"
"1129"	"F"
"1130"	"A"
"1131"	"A"
"1132"	"E"
"1133"	"A"
"1134"	"B"
"1135"	"C"
"1136"	"B"
"1137"	"B"
"1138"	"C"
"1139"	"B"
"1140"	"D"
"1141"	"A"
"1142"	"D"
"1143"	"F"
"1144"	"C"
"1145"	"A"
"1146"	"B"
"1147"	"B"
"1148"	"B"
"1149"	"F"
"1150"	"F"
"1151"	"A"
"1152"	"E"
"1153"	"B"
"1154"	"F"
"1155"	"E"
"1156"	"C"
"1157"	"C"
"1158"	"C"
"1159"	"A"
"1160"	"F"
"1161"	"D"
"1162"	"F"
"1163"	"C"
"1164"	"A"
"1165"	"A"
"1166"	"B"
"1167"	"B"
"1168"	"B"
"1169"	"B"
"1170"	"A"
"1171"	"E"
"1172"	"F"
"1173"	"B"
"1174"	"C"
"1175"	"F"
"1176"	"B"
"1177"	"B"
"1178"	"D"
"1179"	"B"
"1180"	"B"
"1181"	"D"
"1182"	"D"
"1183"	"B"
"1184"	"B"
"1185"	"A"
"1186"	"F"
"1187"	"B"
"1188"	"A"
"1189"	"A"
"1190"	"B"
"1191"	"B"
"1192"	"B"
"1193"	"B"
"1194"	"A"
"1195"	"F"
"1196"	"F"
"1197"	"B"
"1198"	"C"
"1199"	"F"
"1200"	"D"
"1201"	"F"
"1202"	"A"
"1203"	"F"
"1204"	"C"
"1205"	"E"
"1206"	"D"
"1207"	"A"
"1208"	"B"
"1209"	"F"
"1210"	"F"
"1211"	"D"
"1212"	"B"
"1213"	"A"
"1214"	"F"
"1215"	"D"
"1216"	"A"
"1217"	"A"
"1218"	"E"
"1219"	"B"
"1220"	"F"
"1221"	"B"
"1222"	"B"
"1223"	"C"
"1224"	"B"
"1225"	"E"
"1226"	"B"
"1227"	"D"
"1228"	"B"
"1229"	"B"
"1230"	"B"
"1231"	"B"
"1232"	"B"
"1233"	"B"
"1234"	"B"
"1235"	"A"
"1236"	"F"
"1237"	"F"
"1238"	"D"
"1239"	"A"
"1240"	"C"
"1241"	"B"
"1242"	"B"
"1243"	"F"
"1244"	"A"
"1245"	"D"
"1246"	"B"
"1247"	"A"
"1248"	"F"
"1249"	"A"
"1250"	"C"
"1251"	"F"
"1252"	"A"
"1253"	"C"
"1254"	"F"
"1255"	"D"
"1256"	"B"
"1257"	"B"
"1258"	"A"
"1259"	"D"
"1260"	"B"
"1261"	"D"
"1262"	"E"
"1263"	"D"
"1264"	"A"
"1265"	"E"
"1266"	"B"
"1267"	"D"
"1268"	"E"
"1269"	"B"
"1270"	"A"
"1271"	"B"
"1272"	"B"
"1273"	"E"
"1274"	"A"
"1275"	"A"
"1276"	"B"
"1277"	"B"
"1278"	"B"
"1279"	"B"
"1280"	"B"
"1281"	"A"
"1282"	"A"
"1283"	"F"
"1284"	"B"
"1285"	"A"
"1286"	"E"
"1287"	"B"
"1288"	"F"
"1289"	"E"
"1290"	"F"
"1291"	"A"
"1292"	"B"
"1293"	"B"
"1294"	"A"
"1295"	"D"
"1296"	"A"
"1297"	"A"
"1298"	"D"
"1299"	"C"
"1300"	"B"
"1301"	"F"
"1302"	"A"
"1303"	"D"
"1304"	"B"
"1305"	"D"
"1306"	"C"
"1307"	"E"
"1308"	"B"
"1309"	"B"
"1310"	"B"
"1311"	"F"
"1312"	"F"
"1313"	"D"
"1314"	"B"
"1315"	"A"
"1316"	"B"
"1317"	"D"
"1318"	"B"
"1319"	"C"
"1320"	"F"
"1321"	"B"
"1322"	"E"
"1323"	"E"
"1324"	"B"
"1325"	"A"
"1326"	"C"
"1327"	"B"
"1328"	"A"
"1329"	"A"
"1330"	"B"
"1331"	"A"
"1332"	"B"
"1333"	"C"
"1334"	"E"
"1335"	"D"
"1336"	"B"
"1337"	"C"
"1338"	"E"
"1339"	"D"
"1340"	"D"
"1341"	"F"
"1342"	"E"
"1343"	"E"
"1344"	"A"
"1345"	"D"
"1346"	"E"
"1347"	"B"
"1348"	"A"
"1349"	"E"
"1350"	"E"
"1351"	"D"
"1352"	"D"
"1353"	"A"
"1354"	"B"
"1355"	"E"
"1356"	"A"
"1357"	"E"
"1358"	"D"
"1359"	"F"
"1360"	"B"
"1361"	"F"
"1362"	"B"
"1363"	"B"
"1364"	"F"
"1365"	"A"
"1366"	"E"
"1367"	"E"
"1368"	"B"
"1369"	"B"
"1370"	"A"
"1371"	"F"
"1372"	"C"
"1373"	"A"
"1374"	"B"
"1375"	"E"
"1376"	"A"
"1377"	"B"
"1378"	"F"
"1379"	"B"
"1380"	"F"
"1381"	"B"
"1382"	"D"
"1383"	"E"
"1384"	"E"
"1385"	"E"
"1386"	"B"
"1387"	"B"
"1388"	"F"
"1389"	"A"
"1390"	"B"
"1391"	"D"
"1392"	"A"
"1393"	"F"
"1394"	"E"
"1395"	"D"
"1396"	"B"
"1397"	"B"
"1398"	"E"
"1399"	"D"
"1400"	"A"
"1401"	"B"
"1402"	"B"
"1403"	"B"
"1404"	"B"
"1405"	"B"
"1406"	"A"
"1407"	"F"
"1408"	"E"
"1409"	"B"
"1410"	"D"
"1411"	"C"
"1412"	"F"
"1413"	"B"
"1414"	"B"
"1415"	"B"
"1416"	"B"
"1417"	"C"
"1418"	"F"
"1419"	"F"
"1420"	"A"
"1421"	"C"
"1422"	"B"
"1423"	"B"
"1424"	"B"
"1425"	"B"
"1426"	"B"
"1427"	"A"
"1428"	"C"
"1429"	"B"
"1430"	"B"
"1431"	"B"
"1432"	"A"
"1433"	"E"
"1434"	"B"
"1435"	"A"
"1436"	"C"
"1437"	"A"
"1438"	"E"
"1439"	"D"
"1440"	"B"
"1441"	"B"
"1442"	"A"
"1443"	"A"
"1444"	"B"
"1445"	"D"
"1446"	"A"
"1447"	"E"
"1448"	"B"
"1449"	"B"
"1450"	"D"
"1451"	"B"
"1452"	"F"
"1453"	"F"
"1454"	"F"
"1455"	"F"
"1456"	"A"
"1457"	"B"
"1458"	"B"
"1459"	"B"
"1460"	"C"
"1461"	"E"
"1462"	"B"
"1463"	"A"
"1464"	"D"
"1465"	"B"
"1466"	"B"
"1467"	"A"
"1468"	"C"
"1469"	"D"
"1470"	"D"
"1471"	"B"
"1472"	"B"
"1473"	"D"
"1474"	"B"
"1475"	"D"
"1476"	"F"
"1477"	"B"
"1478"	"C"
"1479"	"E"
"1480"	"B"
"1481"	"F"
"1482"	"B"
"1483"	"B"
"1484"	"D"
"1485"	"B"
"1486"	"F"
"1487"	"B"
"1488"	"F"
"1489"	"F"
"1490"	"C"
"1491"	"E"
"1492"	"F"
"1493"	"B"
"1494"	"A"
"1495"	"F"
"1496"	"B"
"1497"	"B"
"1498"	"B"
"1499"	"F"
"1500"	"B"
"1501"	"F"
"1502"	"B"
"1503"	"B"
"1504"	"A"
"1505"	"E"
"1506"	"F"
"1507"	"B"
"1508"	"C"
"1509"	"A"
"1510"	"F"
"1511"	"D"
"1512"	"B"
"1513"	"B"
"1514"	"F"
"1515"	"C"
"1516"	"D"
"1517"	"B"
"1518"	"B"
"1519"	"B"
"1520"	"D"
"1521"	"A"
"1522"	"E"
"1523"	"F"
"1524"	"F"
"1525"	"E"
"1526"	"F"
"1527"	"B"
"1528"	"B"
"1529"	"B"
"1530"	"F"
"1531"	"E"
"1532"	"B"
"1533"	"A"
"1534"	"E"
"1535"	"E"
"1536"	"D"
"1537"	"A"
"1538"	"E"
"1539"	"D"
"1540"	"A"
"1541"	"A"
"1542"	"B"
"1543"	"B"
"1544"	"E"
"1545"	"B"
"1546"	"A"
"1547"	"B"
"1548"	"B"
"1549"	"B"
"1550"	"D"
"1551"	"F"
"1552"	"B"
"1553"	"B"
"1554"	"B"
"1555"	"C"
"1556"	"A"
"1557"	"D"
"1558"	"B"
"1559"	"F"
"1560"	"A"
"1561"	"E"
"1562"	"B"
"1563"	"A"
"1564"	"A"
"1565"	"E"
"1566"	"A"
"1567"	"B"
"1568"	"B"
"1569"	"B"
"1570"	"F"
"1571"	"B"
"1572"	"C"
"1573"	"A"
"1574"	"F"
"1575"	"B"
"1576"	"B"
"1577"	"C"
"1578"	"C"
"1579"	"F"
"1580"	"F"
"1581"	"F"
"1582"	"B"
"1583"	"B"
"1584"	"E"
"1585"	"D"
"1586"	"B"
"1587"	"A"
"1588"	"B"
"1589"	"F"
"1590"	"B"
"1591"	"F"
"1592"	"A"
"1593"	"F"
"1594"	"A"
"1595"	"F"
"1596"	"C"
"1597"	"F"
"1598"	"B"
"1599"	"C"
"1600"	"F"
"1601"	"D"
"1602"	"B"
"1603"	"A"
"1604"	"B"
"1605"	"F"
"1606"	"F"
"1607"	"D"
"1608"	"A"
"1609"	"C"
"1610"	"C"
"1611"	"B"
"1612"	"F"
"1613"	"C"
"1614"	"B"
"1615"	"B"
"1616"	"F"
"1617"	"B"
"1618"	"B"
"1619"	"E"
"1620"	"F"
"1621"	"B"
"1622"	"B"
"1623"	"C"
"1624"	"F"
"1625"	"A"
"1626"	"E"
"1627"	"F"
"1628"	"B"
"1629"	"B"
"1630"	"B"
"1631"	"A"
"1632"	"F"
"1633"	"B"
"1634"	"B"
"1635"	"B"
"1636"	"B"
"1637"	"E"
"1638"	"A"
"1639"	"B"
"1640"	"B"
"1641"	"E"
"1642"	"E"
"1643"	"E"
"1644"	"A"
"1645"	"B"
"1646"	"B"
"1647"	"B"
"1648"	"E"
"1649"	"E"
"1650"	"B"
"1651"	"F"
"1652"	"B"
"1653"	"E"
"1654"	"D"
"1655"	"E"
"1656"	"B"
"1657"	"D"
"1658"	"F"
"1659"	"E"
"1660"	"A"
"1661"	"F"
"1662"	"B"
"1663"	"F"
"1664"	"A"
"1665"	"E"
